district,pop_1941,pop_1942,category
Baoshan,73304,76809,Chinese-administered area
Chongming,37264,30615,Chinese-administered area
Chuansha,69880,82769,Chinese-administered area
Fengxian,48349,66900,Chinese-administered area
Gaoqiao,95591,96047,French Concession
Hubei,72339,82392,International Settlement
Huxi,232311,1613825,International Settlement
Jiading,44375,50191,Chinese-administered area
Minhang,77358,78046,Chinese-administered area
Nanhui,56538,66967,Chinese-administered area
Pudong,198245,202454,Chinese-administered area
Shizhongxin,55201,66871,International Settlement
Xieqiao,72203,74454,French Concession
Xuhui,52208,54466,French Concession
Yangsi,58884,59071,Chinese-administered area
Yimiao,126126,153664,Chinese-administered area
Yulin,70908,76566,Chinese-administered area
Zhabei,96568,146767,International Settlement
Zhonghua,123508,148776,International Settlement
